left_weight,left_distance,right_weight,right_distance,class
1.4502279,-0.16301727,1.0649145,-0.81607693,1.0
-0.5784499,0.64271307,-1.4764485,-1.4183136,1.0
0.09537416,-1.297112,-1.4032878,-1.416636,1.0
1.4424996,0.60957366,1.0721356,-1.4154925,1.0
0.100407586,0.72812045,0.7374601,-0.6708439,1.0
0.75645137,-0.12887621,1.3399036,0.7214318,2.0
0.7497011,0.66426754,-1.4112775,-1.4098186,1.0
-0.6799017,-0.77779245,0.4665897,1.3931468,2.0
-0.09243804,-0.798522,0.013892635,1.5068729,2.0
0.6567752,1.5947467,-0.6082013,-0.7735844,1.0
0.7486587,-0.86919343,0.011915381,1.3486955,2.0
0.68552685,-0.35094354,-0.64480156,-1.3832893,1.0
0.6862643,-0.74309313,-1.4297181,-0.78113407,1.0
0.10227999,-0.51492435,-1.472669,1.0845001,1.0
1.2721066,-1.4888874,1.3375397,1.4404924,2.0
-0.06583933,-0.14185351,0.015848244,1.45886,2.0
-0.5710806,0.7150357,-0.8843483,-0.79022187,1.0
-1.1558596,-0.15551879,-0.22999763,-1.5774937,0.0
-1.4406197,-1.4066377,0.47903508,0.66077775,2.0
0.7617411,-0.8637282,1.321,0.11810768,2.0
-1.6350305,-0.89679146,-0.23651578,-1.132333,2.0
0.7672974,-1.4987118,0.018453406,-0.0847745,2.0
1.0470821,-1.1313442,-1.4759698,0.0204282,1.0
1.031256,-0.13783173,0.63076544,0.7116966,2.0
0.00420512,-1.4814728,0.016170096,0.6797552,2.0
0.10999891,1.2127763,1.4624408,-1.3460996,1.0
-0.82495266,0.64835465,0.7803843,1.3346722,2.0
-0.58063525,0.7462207,-1.5598413,1.1304487,1.0
-0.58040565,0.72279584,-0.07231661,-0.7796385,1.0
0.007921173,0.6402746,-0.22003403,0.4632727,0.0
-0.31998456,0.074135944,1.5795257,-0.70086336,2.0
0.0014905636,-1.5018275,1.3407458,0.1558226,2.0
