REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN,class
0.9913141,-1.9534855,0.0,-0.42524695,-0.16537973,0.35182625,-0.047601555,0.49482962,-0.10937881,-0.56814474,-0.70270604,-0.5591059,-0.7074025,0.35188684,-0.06898551,0.07229299,-0.72529244,0.5869936,-0.44932088,6.0
-0.6342415,1.20855,0.0,-0.40433225,-0.22652368,-0.022983875,-0.1614977,-0.23017,-0.0074614775,-0.44630668,-0.7249996,-0.80859363,-0.41905636,0.6054417,-1.4629568,2.0602305,-0.5668639,-0.06199678,2.2334197,3.0
-0.24754871,-0.42728907,0.0,-0.28819138,-0.18726145,-0.36198997,-0.13198663,-0.4563559,-0.1684396,0.70605075,0.676837,0.84020084,0.54377806,-0.7527737,0.9165635,-1.0919734,0.80036515,-0.69943047,-0.41905513,1.0
-0.37733045,-1.1525934,0.0,-0.30432412,-0.16464454,-0.42515454,-0.20502749,-0.49610353,-0.07397436,2.1803007,2.4256341,2.2455008,2.2960424,-1.641113,1.1072121,-0.42627326,2.2671504,-1.1349554,-0.65352577,5.0
0.18716282,-0.2426991,0.0,-0.296434,-0.2823168,-0.48438784,-0.15097624,-0.33310822,-0.16945429,-0.77180994,-0.796417,-0.7754596,-0.84898704,1.5002164,-0.9330727,0.094358094,-0.9595545,0.79125303,0.32375813,0.0
-0.63989425,-1.7729883,0.0,-0.2840189,-0.2504291,-0.40283316,-0.17179988,-0.3051642,-0.23563181,1.9981362,2.017768,2.1538503,2.0377636,-2.2787263,1.7865717,-0.39819077,1.9777454,-0.90610236,-0.52647704,5.0
1.0723768,-0.037018675,0.0,-0.31810078,-0.1798942,-0.20384394,-0.18179221,-0.7047819,-0.13764793,-0.9218711,-0.943413,-0.90049404,-0.9284848,0.8703847,-0.87240845,0.40320057,-1.0344218,2.2590253,-0.39013702,6.0
-1.5234934,-0.9924454,0.0,-0.3894372,-0.13471247,-0.19960794,-0.18597555,-0.1790214,-0.07259932,-0.558787,-0.44604257,-0.4208187,-0.6347956,0.6526852,-0.20817617,-0.58195317,-0.45728636,0.10614628,-0.2815918,0.0
-0.635732,-0.38909832,0.0,-0.42602855,-0.15531358,-0.15554652,-0.16739027,-0.31716427,-0.11279392,-0.571779,-0.42121932,-0.43515316,-0.54019713,1.3842522,-0.6138451,-0.50599045,-0.44205174,-0.08961505,0.052658048,0.0
-0.6487068,-0.62661767,0.0,-0.40803,-0.26071352,-0.0978855,-0.112235025,0.1440075,-0.022790533,-0.33270517,-0.34889543,-0.40486932,-0.565392,0.9671974,-0.25770047,-0.64459974,-0.3840527,-0.09378907,-0.09070402,0.0
