band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,band_32,band_33,band_34,band_35,class
-0.34932205,0.9538177,1.3060005,1.0310887,0.38532382,1.2894568,1.4694967,0.9657427,0.022999216,1.2778759,1.2567989,0.7360474,-0.6737847,0.9135376,1.2489693,0.48140857,-0.110865965,1.1348932,1.4083892,0.8229622,0.51411784,1.2759247,1.5069132,0.9517411,-0.2461206,0.7470869,1.2485111,0.5169481,0.3072785,1.1147823,1.4809276,1.1273619,0.82061416,1.2684728,1.7011573,0.9711192,0.0
1.4809446,1.7792653,1.7278688,1.0263664,1.4119153,1.6530063,1.25012,0.62057084,1.5848627,1.2330099,0.8661298,0.36874762,1.6435697,1.7812524,1.8185155,1.2272366,1.949177,1.5457343,1.3489377,0.7170539,1.5903667,1.4772716,1.1591626,0.31346992,2.0370212,1.7871963,1.3914448,1.0239903,1.6113697,1.6227473,1.464808,0.6013615,1.8922395,1.5055856,1.1532094,0.76047313,2.0
-0.43725345,-0.66844016,-1.2020516,-1.2817336,-0.20957878,-0.56691974,-1.1421523,-1.0601943,-0.20048957,-0.33789632,-1.0856162,-1.1296113,-0.12593812,-0.2763498,-1.5946013,-1.4196484,-0.30836278,-0.47022468,-1.5620317,-1.281439,-0.1455974,-0.41480404,-1.1846433,-1.2247674,-0.2907746,-0.4773404,-1.6653211,-1.4081492,-0.42397717,-0.6517504,-1.5999177,-1.089161,0.2264773,-0.49114376,-1.3460201,-1.1863035,5.0
-1.9046631,-2.199653,0.77899593,1.9617884,-1.7103415,-2.0459375,1.0842249,1.7158898,-1.3413888,-2.0598524,1.0551633,1.6615593,-1.6734527,-2.0612156,0.72426695,1.7134664,-1.7674028,-2.0401595,0.5871203,1.5101894,-1.7438722,-2.244617,0.6263402,1.4017347,-1.5761656,-2.0758953,0.74156857,1.6719182,-1.4482862,-1.9220173,0.60179275,1.7691149,-1.4945537,-2.0513115,0.82640415,1.7283591,1.0
-0.19472097,0.6335615,0.77786314,0.30344364,-0.4553182,0.7498702,0.7204099,0.43965587,-0.6105701,0.2838066,0.038964216,0.44836104,-0.7251308,0.6126489,0.672422,0.39088836,-1.0048908,0.22512212,0.0864605,-0.110026725,-1.2434613,-0.5664893,-0.5335847,-0.3997602,-1.2637954,-0.028227873,0.104244016,0.060266428,-1.1984643,-0.48272884,-0.4294435,-0.5555665,-1.4006119,-0.6317177,-0.7870471,-0.5579549,0.0
-0.21328397,0.15399855,-0.27595276,-0.19197337,-0.7322634,-0.47866043,-0.9165852,-0.58223724,-1.2325377,-0.5448263,-0.8923126,-0.3561978,-0.0005949601,0.58063513,0.34952283,0.3421447,-0.51708204,-0.07824118,-0.7684814,-0.20681988,-1.1273693,-0.8514019,-0.85663337,-0.5867405,-0.8164376,-0.48454812,-0.088878885,-0.32617098,-0.8177209,-0.25336963,-0.33995324,-0.38392287,-0.43919438,-0.201618,-0.1513236,-0.38881803,0.0
-0.42884272,-1.0888672,0.2488532,0.9556467,-1.1138598,-1.853289,1.0597328,2.1109412,-1.4413548,-2.0840209,1.9531736,2.6082337,-1.9625969,-2.2113554,1.4140258,2.7184095,-1.8979241,-2.1833053,1.9678891,3.024798,-1.7467802,-2.0823874,1.6962943,2.9649372,-1.7746391,-2.1926033,1.4179202,2.709379,-1.4996319,-2.4653535,1.877312,2.595019,-1.506621,-2.167306,1.5619321,2.7818034,1.0
1.3769332,1.1067923,0.84729654,0.057878498,1.4759274,1.1562376,0.9193312,0.36231017,1.6804328,1.2592021,0.9995624,0.15102652,1.3253797,1.0825412,0.947319,0.13984893,1.2521358,1.0559186,0.79495806,0.22820033,1.8378499,0.7184828,0.91981345,0.27379388,1.3209298,1.1658256,1.2911668,0.39159524,1.3296773,1.1206782,0.7423977,0.33964062,1.836975,1.2489663,1.0618472,0.105082326,2.0
0.31161538,-0.05918855,-1.0824741,-0.8847757,0.17838882,0.022797393,-0.98545635,-0.8878643,0.3266153,-0.10702259,-0.91205823,-0.837726,0.16626069,-0.054213095,-0.6257344,-0.8703201,0.22834793,-0.04194805,-0.9361607,-0.85432696,0.47786954,-0.14418894,-1.039933,-0.67722523,0.22019589,-0.14174184,-0.77504057,-1.1827451,0.16668409,-0.15368891,-0.6741052,-0.85266215,0.04356523,-0.09596808,-0.7240632,-1.0659413,5.0
0.8919202,0.77641654,0.5776119,-0.07217954,0.96229285,0.60584545,0.28740966,-0.18965632,0.8781961,0.7159616,-0.006862633,-0.07689914,0.9634301,0.7184236,0.17602673,-0.16662589,1.0948395,0.7933819,0.2835977,-0.21622755,1.0516428,0.4032625,0.19083832,-0.14017922,1.4202112,0.95648056,0.9947742,0.16155398,1.4877914,1.1713167,0.46803978,0.3269228,1.1585696,1.0399573,0.61223537,0.022521932,2.0
-0.580186,-0.62528014,-1.4746201,-1.3595423,-0.2171571,-0.43831432,-1.459425,-1.3266705,0.13060093,-0.3787596,-1.2034414,-1.594912,-0.3722474,-0.52585816,-1.3992448,-1.0427133,-0.5652997,-0.49114478,-1.3149043,-1.1497456,-0.3665503,-0.43156466,-0.975823,-1.1311165,-0.3949635,-0.5796522,-1.5783528,-1.4931921,-0.35007772,-0.38569835,-1.500474,-1.3710335,-0.36250448,-0.5377923,-1.4772594,-1.3123405,5.0
0.6804526,0.23939371,0.076272324,-0.747534,0.35612363,0.37867275,-0.48124218,-0.62175435,0.44866416,0.25918433,-0.026391407,-0.62442595,0.5934022,0.14631803,-0.077754214,-0.67817587,0.79144984,0.4066053,-0.6837165,-0.6429794,0.5015091,0.3515215,-0.69389504,-0.5840124,0.8063995,0.1713048,-0.23778212,-0.7303535,0.62770414,0.42847452,-0.33940282,-0.54670817,1.0307707,0.2919922,-0.31912568,-0.71013147,3.0
-1.38877,-1.1469718,-1.4830071,-1.2996205,-1.0195524,-1.1902534,-1.6912605,-1.3956531,-1.1568108,-0.88696635,-1.7610097,-1.0668877,-1.2003372,-1.0665833,-1.6823161,-1.1123651,-0.8556101,-1.2736415,-1.5879302,-1.4192072,-0.8614934,-1.1119226,-1.8206248,-1.2829695,-0.90463984,-0.98366284,-1.4760188,-1.4275643,-0.9642565,-1.3930862,-1.6527323,-1.3055522,-0.7767481,-1.1905707,-1.2186468,-1.1882128,4.0
-1.67593,-2.099067,1.248385,2.6755965,-1.0645202,-1.6092185,0.83879447,1.0323211,0.18233213,-0.16831751,-0.15130496,-0.4966363,-1.7174416,-2.1500275,1.5651702,2.8467968,-1.781539,-2.3657591,1.1111082,2.640725,-1.1113775,-1.2319149,0.41957378,0.84652644,-1.9708266,-2.2277026,1.958107,2.7353504,-2.216267,-2.5113943,1.8740716,3.0691335,-1.7588341,-1.6774882,1.3055867,1.8898988,1.0
0.16833659,1.5336727,1.3659438,0.53856766,0.23280992,1.3211516,1.1508398,0.82274467,0.19137087,0.9261912,0.65121657,0.40490887,0.8317813,1.3211434,1.7487209,0.87192523,0.5808364,1.4357756,1.4071643,0.67806894,0.091063745,1.1857013,1.3193805,0.8630009,0.5067598,1.6290535,1.5906733,0.98645955,0.4327974,1.0399997,1.8728613,0.92465216,0.272309,1.2658681,1.3577049,0.8188537,0.0
-0.40497544,-0.8286945,-2.056562,-1.5223492,-0.4540189,-0.76284283,-1.7128791,-1.3080441,-0.52557707,-0.5812376,-1.8474197,-1.2470436,-0.9394525,-0.8335056,-2.018295,-1.1373838,-0.20751336,-0.370956,-1.4412435,-1.1458802,-0.028053377,-0.56592965,-1.5224884,-1.4115715,-0.4716721,-0.56832665,-1.5715457,-1.3387,-0.44016352,-0.41666138,-1.5051472,-1.4270248,-0.13534662,-0.46190023,-1.5940509,-0.93860567,5.0
0.7652212,1.2809706,1.5790688,0.95519596,1.3620064,1.5187309,2.049406,1.024858,1.2147139,1.2733383,1.0574423,0.7678107,0.9797548,1.5317141,1.798806,1.2731293,1.8230077,1.4687579,2.0277936,1.2262446,0.9545743,1.2854296,1.4321866,0.81321967,0.646368,0.67686015,1.4877489,0.88026565,1.0448155,1.2435622,1.8769485,1.1303669,1.0321147,0.7382442,1.4003782,0.32447132,0.0
-0.59768033,-0.83308893,-0.06399537,0.38824323,-0.7419066,-0.97834474,0.094936095,0.79385364,-0.5599073,-1.0715021,0.22579733,0.9131314,-0.7749236,-0.7582455,-0.72439146,-0.4248716,-0.34418824,-0.6457084,-0.20303136,-0.08223941,-0.5860656,-0.90296024,-0.21288577,0.5652018,-1.4130895,-1.4256107,-1.021649,0.12025945,-0.7229753,-0.7525079,-0.6415873,-0.75370896,-0.5479451,-0.9099268,-0.2132971,0.47137424,4.0
1.069184,0.79752403,0.17410454,-0.12638539,0.95183,0.48040622,0.09982138,-0.28494063,0.7205174,0.6960415,0.32179075,-0.33878618,1.2148974,0.8472538,0.3371702,-0.05813614,1.1774193,0.70777625,0.11938093,-0.17193179,0.8493747,0.78210306,0.26422423,-0.21877106,1.201322,1.3667628,0.6968746,0.12526622,1.2217278,1.1774759,0.23486206,0.19573517,0.7747085,0.7889187,0.20163535,0.08655172,2.0
1.1425166,0.6892579,0.51752,0.3615118,0.23354304,-0.2531273,-0.96587783,-1.383044,-0.4953803,-0.65898544,-1.6150095,-1.1802276,1.4313982,1.5586948,1.348299,0.90398717,1.1776612,0.7366571,0.47605696,-0.24700886,0.32520816,0.42679042,-0.31786558,-0.51925135,1.3254459,1.3519862,1.4103044,0.8423127,1.4893979,1.3430897,1.4495258,0.8044566,1.020054,1.1664019,0.56124467,0.6210864,2.0
0.63506347,0.2908674,-0.034126554,-0.58223444,0.89853895,0.1772914,-0.72610754,-0.26774716,0.31634107,0.33965674,-0.5555042,-0.73811173,0.60753304,0.33726767,-0.2869348,-0.23696895,0.49323106,0.46251088,-0.6568633,-0.2819652,0.4050312,0.43700096,-0.44571778,-0.5764065,0.7470022,0.23765665,-0.07800492,-0.4541529,0.56727874,0.18668528,-0.36049435,-0.72754955,0.8242987,0.35842216,-0.0021551494,-0.4849707,3.0
0.77880216,0.62766653,0.2268826,-0.23334272,0.77124935,0.31596372,0.0055710333,-0.29512826,0.737495,0.6085831,0.20123895,-0.1336932,1.5371137,0.672315,0.27688852,0.10614537,1.2991843,0.9123399,0.17450984,0.08563595,1.1948265,0.53958786,0.09343785,-0.19323575,1.3135742,0.5393815,0.26061848,-0.19269243,1.3015056,0.73076177,0.43389472,-0.08430445,1.1575282,0.93101615,0.47149664,0.16690506,2.0
-0.79557157,-0.7370381,-1.7462174,-1.3031362,-0.47780886,-0.9305123,-2.0819263,-1.585776,-0.46814936,-0.7203999,-1.7891738,-1.6936344,-0.3765538,-0.6214305,-1.5943409,-1.4760675,-0.29880148,-0.6265345,-1.5958378,-1.4917849,-0.26055998,-0.5752635,-2.0010123,-1.5591737,-0.47843218,-0.35280064,-1.8418125,-1.2364959,-0.6838849,-0.5340255,-1.4930811,-1.5675259,-0.20400073,-0.43248498,-1.5043358,-1.4074072,5.0
0.2623693,0.89189386,1.3656613,0.7040726,-0.2181671,0.97568756,0.9267338,0.67534363,0.03180414,1.3129218,1.2669961,0.69300693,-0.2727231,1.2411398,1.2788405,0.73807794,-0.3122703,1.069292,0.94731736,0.6676825,-0.24060266,1.3165581,0.7662787,0.66918033,-0.04050334,1.273985,1.0696132,0.8427986,0.18432319,0.85383725,1.2209322,0.79286253,-0.20624089,1.0871667,1.0354227,0.87000805,0.0
