dataset,m,seed,N,d,K,source_rows,source_class_counts,context_class_counts,initial_class_counts,dependency_deviation,before_compile_kl,before_compile_js,before_compile_agreement,before_compile_accuracy,before_compile_log_loss,before_compile_roc_auc,before_validation_kl,before_validation_js,before_validation_agreement,before_validation_accuracy,before_validation_log_loss,before_validation_roc_auc,before_test_kl,before_test_js,before_test_agreement,before_test_accuracy,before_test_log_loss,before_test_roc_auc,before_G_val,before_G_test,before_latency_seconds,after_compile_kl,after_compile_js,after_compile_agreement,after_compile_accuracy,after_compile_log_loss,after_compile_roc_auc,after_validation_kl,after_validation_js,after_validation_agreement,after_validation_accuracy,after_validation_log_loss,after_validation_roc_auc,after_test_kl,after_test_js,after_test_agreement,after_test_accuracy,after_test_log_loss,after_test_roc_auc,after_G_val,after_G_test,after_latency_seconds,status,delta_kl,relative_improvement,win,validation_delta_kl,best_step,adam_steps,training_seconds,labels_unchanged,final_class_counts,execution_device,device_deviation,reload_verified,artifact,missing_initial_classes,reload_max_prediction_error,reload_max_kl_error
vehicle,8,42,507,18,4,846,"{'bus': 218, 'saab': 217, 'opel': 212, 'van': 199}","[131, 127, 130, 119]","[2, 2, 2, 2]",False,1.0065815448760986,0.28396785259246826,0.45562130212783813,0.44970414201183434,1.260801076889038,0.7341385197489848,1.0383352041244507,0.2933013439178467,0.5647059082984924,0.5529411764705883,1.2259039878845215,0.7603587905150404,1.0036680698394775,0.2838926613330841,0.4470588266849518,0.43529411764705883,1.255192756652832,0.7333743686868688,0.03175365924835205,-0.0029134750366210938,0.09564312500879169,0.841802716255188,0.23754562437534332,0.5207100510597229,0.4970414201183432,1.130743384361267,0.7842515688445921,0.8426639437675476,0.2402537763118744,0.6000000238418579,0.5882352941176471,1.0310654640197754,0.8484985153735154,0.8344743847846985,0.23591579496860504,0.529411792755127,0.5529411764705883,1.0781630277633667,0.8201157696470196,0.0008612275123596191,-0.007328331470489502,0.09413291700184345,complete,0.16919368505477905,0.16857533893833962,True,0.19567126035690308,50,50,9.276995999971405,True,"[2, 2, 2, 2]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/vehicle/compiled-8-42-stratified.csv,0,0.0,1.7881393432617188e-07
vehicle,8,43,507,18,4,846,"{'bus': 218, 'saab': 217, 'opel': 212, 'van': 199}","[131, 127, 130, 119]","[2, 2, 2, 2]",False,1.0803881883621216,0.2841852009296417,0.47337278723716736,0.4260355029585799,1.4058276414871216,0.6296650055370985,1.162145972251892,0.30116793513298035,0.5411764979362488,0.5294117647058824,1.3392188549041748,0.6587424901487402,1.2078187465667725,0.3062552511692047,0.42352941632270813,0.4,1.4855297803878784,0.6043538752913753,0.08175778388977051,0.12743055820465088,0.09109387500211596,0.8847867250442505,0.24180573225021362,0.5739644765853882,0.514792899408284,1.2129769325256348,0.7339862495385753,0.9137524962425232,0.24997477233409882,0.5647059082984924,0.5529411764705883,1.078230857849121,0.7932510198135199,0.9990013837814331,0.26324838399887085,0.48235294222831726,0.43529411764705883,1.3058680295944214,0.7027731643356643,0.028965771198272705,0.11421465873718262,0.08925262500997633,complete,0.20881736278533936,0.17288799613261774,True,0.2483934760093689,50,50,9.000649583991617,True,"[2, 2, 2, 2]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/vehicle/compiled-8-43-stratified.csv,0,0.0,4.172325134277344e-07
vehicle,8,44,507,18,4,846,"{'bus': 218, 'saab': 217, 'opel': 212, 'van': 199}","[131, 127, 130, 119]","[2, 2, 2, 2]",False,1.0945905447006226,0.30540040135383606,0.40236687660217285,0.39644970414201186,1.3429867029190063,0.6913275193798449,1.1299059391021729,0.3148939311504364,0.47058823704719543,0.4470588235294118,1.3164494037628174,0.7496128524253525,1.0956794023513794,0.30544254183769226,0.43529412150382996,0.4235294117647059,1.3370246887207031,0.6875446255133755,0.03531539440155029,0.001088857650756836,0.1308871249202639,1.0026540756225586,0.28372618556022644,0.5147929191589355,0.48520710059171596,1.2556061744689941,0.7739456441491325,1.0375818014144897,0.2931915521621704,0.5764706134796143,0.5529411764705883,1.2225583791732788,0.8337415015540015,1.0208982229232788,0.2880764603614807,0.529411792755127,0.5058823529411764,1.2657980918884277,0.7798313318625818,0.03492772579193115,0.018244147300720215,0.1265637920005247,complete,0.07478117942810059,0.06825096763489089,True,0.0923241376876831,50,50,9.858439584029838,True,"[2, 2, 2, 2]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/vehicle/compiled-8-44-stratified.csv,0,0.0,1.1920928955078125e-07
vehicle,32,42,507,18,4,846,"{'bus': 218, 'saab': 217, 'opel': 212, 'van': 199}","[131, 127, 130, 119]","[8, 8, 8, 8]",False,0.7197293043136597,0.18948706984519958,0.6213017702102661,0.6153846153846154,0.9573692679405212,0.8590831487633813,0.5466766953468323,0.15091364085674286,0.7647058963775635,0.7764705882352941,0.7085054516792297,0.9239188589188588,0.7327926158905029,0.18851689994335175,0.6470588445663452,0.6352941176470588,1.0155324935913086,0.842194610944611,-0.1730526089668274,0.013063311576843262,0.09956208302173764,0.07683706283569336,0.021346542984247208,0.88165682554245,0.8106508875739645,0.3952493667602539,0.9504083610188261,0.11464782059192657,0.032292842864990234,0.9058823585510254,0.9176470588235294,0.25279152393341064,0.9849943806193806,0.1754235029220581,0.04470665007829666,0.8117647171020508,0.7294117647058823,0.4508708417415619,0.9398485368797869,0.037810757756233215,0.09858644008636475,0.09738966694567353,complete,0.5573691129684448,0.7606096198050791,True,0.4320288747549057,40,50,9.559614166035317,True,"[8, 8, 8, 8]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/vehicle/compiled-32-42-stratified.csv,0,0.0,3.501772880554199e-07
vehicle,32,43,507,18,4,846,"{'bus': 218, 'saab': 217, 'opel': 212, 'van': 199}","[131, 127, 130, 119]","[8, 8, 8, 8]",False,0.5132037997245789,0.13032962381839752,0.692307710647583,0.6982248520710059,0.727311372756958,0.8907876522702104,0.5483354330062866,0.13830186426639557,0.7058823704719543,0.7294117647058823,0.6750242710113525,0.9025052378177378,0.6095119714736938,0.14560049772262573,0.6352941393852234,0.5882352941176471,0.9966498613357544,0.8250583964646464,0.035131633281707764,0.09630817174911499,0.15675516601186246,0.07594446837902069,0.020430613309144974,0.9053254723548889,0.8106508875739645,0.3517741560935974,0.9596137873754154,0.15417170524597168,0.042415447533130646,0.8941176533699036,0.8705882352941177,0.2827318608760834,0.9765568632756133,0.1697121411561966,0.04249347746372223,0.7764706015586853,0.7529411764705882,0.4798017740249634,0.9255292797480298,0.07822723686695099,0.0937676727771759,0.11127870890777558,complete,0.43979983031749725,0.7215606106212119,True,0.39416372776031494,40,50,11.054399750079028,True,"[8, 8, 8, 8]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/vehicle/compiled-32-43-stratified.csv,0,0.0,5.513429641723633e-07
vehicle,32,44,507,18,4,846,"{'bus': 218, 'saab': 217, 'opel': 212, 'van': 199}","[131, 127, 130, 119]","[8, 8, 8, 8]",False,0.5184457898139954,0.14925126731395721,0.6982248425483704,0.6863905325443787,0.7788957953453064,0.8961378737541528,0.5483130812644958,0.15813522040843964,0.7058823704719543,0.7058823529411765,0.7306308150291443,0.8998818889443889,0.5478897094726562,0.15596048533916473,0.6823529601097107,0.6588235294117647,0.812354326248169,0.8775451458263959,0.02986729145050049,0.02944391965866089,0.10611387493554503,0.04646803438663483,0.012432366609573364,0.9289940595626831,0.8461538461538461,0.3584989607334137,0.963406699889258,0.11603996157646179,0.03048025816679001,0.8823529481887817,0.8823529411764706,0.2371138334274292,0.9856989711677211,0.15433114767074585,0.040521152317523956,0.8588235378265381,0.8235294117647058,0.4534316062927246,0.9486020750083249,0.06957192718982697,0.10786311328411102,0.09683950000908226,complete,0.3935585618019104,0.7183171265996408,True,0.43227311968803406,50,50,11.193395416950807,True,"[8, 8, 8, 8]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/vehicle/compiled-32-44-stratified.csv,0,0.0,2.086162567138672e-07
vehicle,128,42,507,18,4,846,"{'bus': 218, 'saab': 217, 'opel': 212, 'van': 199}","[131, 127, 130, 119]","[33, 32, 33, 30]",False,0.10308419167995453,0.028898730874061584,0.857988178730011,0.7988165680473372,0.38609033823013306,0.9487380029531192,0.11332973837852478,0.03148050606250763,0.9176470637321472,0.8941176470588236,0.266909122467041,0.9809077554390054,0.1286221146583557,0.03381432592868805,0.8470588326454163,0.8588235294117647,0.3614346981048584,0.9632777639027639,0.010245546698570251,0.025537922978401184,0.13922050001565367,0.007896319963037968,0.00206318823620677,0.9644970297813416,0.8816568047337278,0.28186559677124023,0.979125138427464,0.07385599613189697,0.018557127565145493,0.929411768913269,0.9294117647058824,0.1910373419523239,0.9884898088023089,0.054473746567964554,0.014467716217041016,0.9058823585510254,0.8235294117647058,0.32885268330574036,0.9652996656121656,0.065959676168859,0.046577426604926586,0.14071883296128362,complete,0.07414836809039116,0.576482265801204,True,0.03947374224662781,50,50,11.86542683292646,True,"[33, 32, 33, 30]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/vehicle/compiled-128-42-stratified.csv,0,0.0,2.60770320892334e-07
vehicle,128,43,507,18,4,846,"{'bus': 218, 'saab': 217, 'opel': 212, 'van': 199}","[131, 127, 130, 119]","[33, 32, 33, 30]",False,0.11032424867153168,0.031311601400375366,0.8402366638183594,0.7928994082840237,0.37295952439308167,0.9463639719453673,0.13039188086986542,0.03610880672931671,0.8823529481887817,0.9058823529411765,0.26722702383995056,0.9811169733044733,0.14038214087486267,0.037927158176898956,0.7411764860153198,0.7176470588235294,0.4419339895248413,0.9109364593739594,0.02006763219833374,0.030057892203330994,0.13110266695730388,0.0068290685303509235,0.0017749430844560266,0.9822485446929932,0.8757396449704142,0.2659735083580017,0.9766449796973052,0.05503736436367035,0.010330688208341599,0.9529411792755127,0.9294117647058824,0.1425824612379074,0.9937714195526696,0.07240961492061615,0.0167288426309824,0.8941176533699036,0.788235294117647,0.45096251368522644,0.9446841873404374,0.048208295833319426,0.06558054639026523,0.13631479197647423,complete,0.06797252595424652,0.48419639087024297,True,0.07535451650619507,40,50,10.429969165939838,True,"[33, 32, 33, 30]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/vehicle/compiled-128-43-stratified.csv,0,0.0,5.401670932769775e-07
vehicle,128,44,507,18,4,846,"{'bus': 218, 'saab': 217, 'opel': 212, 'van': 199}","[131, 127, 130, 119]","[33, 32, 33, 30]",False,0.13643108308315277,0.03750181570649147,0.8520709872245789,0.7928994082840237,0.4217563569545746,0.941202934662237,0.20415154099464417,0.053653717041015625,0.8588235378265381,0.8588235294117647,0.38141703605651855,0.9593860826673326,0.22203566133975983,0.048875242471694946,0.7764706015586853,0.8117647058823529,0.41513991355895996,0.9553061174936175,0.0677204579114914,0.08560457825660706,0.1967113339342177,0.0072176153771579266,0.0017733554122969508,0.9704142212867737,0.8757396449704142,0.28396669030189514,0.9755283314876337,0.0629737377166748,0.014969618991017342,0.9647058844566345,0.9411764705882353,0.1417342871427536,0.9954117063492064,0.044662270694971085,0.011722637340426445,0.9058823585510254,0.8235294117647058,0.3290586471557617,0.9633042651792652,0.05575612233951688,0.03744465531781316,0.13508054101839662,complete,0.17737339064478874,0.798850912391822,True,0.14117780327796936,50,50,11.57203625002876,True,"[33, 32, 33, 30]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/vehicle/compiled-128-44-stratified.csv,0,0.0,2.5331974029541016e-07
blood-transfusion-service-center,8,42,448,4,2,748,"{'1': 570, '2': 178}","[341, 107]","[6, 2]",False,0.06580419093370438,0.01758616976439953,0.8866666555404663,0.7733333333333333,0.5595898628234863,0.6624025341130604,0.07225831598043442,0.01971472054719925,0.9333333373069763,0.7733333333333333,0.5326706171035767,0.7190669371196755,0.07143926620483398,0.019604913890361786,0.9200000166893005,0.7866666666666666,0.5080249905586243,0.736842105263158,0.0064541250467300415,0.005635075271129608,0.091721500037238,0.023671932518482208,0.006386542692780495,0.9333333373069763,0.78,0.5116273164749146,0.6991959064327485,0.027670199051499367,0.0075579541735351086,0.9466666579246521,0.76,0.4415389597415924,0.8985801217038539,0.025387564674019814,0.007048982661217451,0.9466666579246521,0.7866666666666666,0.47742563486099243,0.7748538011695907,0.0039982665330171585,0.0017156321555376053,0.09023429197259247,complete,0.04605170153081417,0.6446273034044414,True,0.04458811692893505,50,50,10.298899458022788,True,"[6, 2]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/blood-transfusion-service-center/compiled-8-42-stratified.csv,0,7.152557373046875e-07,3.725290298461914e-08
