harmonic_1_normalized_amplitude,harmonic_2_normalized_amplitude,harmonic_3_normalized_amplitude,harmonic_4_normalized_amplitude,harmonic_5_normalized_amplitude,phoneme_sound_class
-0.67175287,-0.33989713,1.7539594,0.40327707,-0.81216997,0.0
-0.03469324,-0.68668675,1.3223729,1.5251073,-1.2686462,1.0
-0.6111966,0.63323665,0.4616922,0.009906044,-0.41829547,0.0
0.025279501,-0.014060433,0.48684332,0.33796945,0.36376268,1.0
-1.0182546,-0.65056324,0.2461,-1.5305847,-1.3964148,1.0
-0.39158362,-0.7821401,0.909882,0.31956875,0.8045734,1.0
-0.69081664,0.10017669,1.1000167,-1.042199,-0.5251299,0.0
-0.64061844,0.10358479,2.0125377,-1.4839066,-0.7366442,0.0
-0.6308734,0.97185117,1.1263621,0.32076636,-0.61289483,0.0
0.1499867,1.6401068,-1.2731847,-0.9424593,1.0944798,0.0
1.8966835,-1.1925645,-0.5763666,-0.19760448,-0.31402907,0.0
-0.65005964,-1.027809,1.4583664,0.30099484,0.73985213,0.0
-0.38924912,1.6199031,-1.533639,-0.82219595,-0.49331102,0.0
-0.42332673,2.258842,0.64838904,0.31157976,-0.3753248,0.0
-0.641863,-0.3417554,2.0952709,-1.4761032,-0.78351,0.0
-1.0421842,-1.0088804,-0.3892338,2.3035955,-1.2393317,0.0
-0.10112834,1.6277723,-1.2642562,-0.7642565,-0.40445054,0.0
-0.64998746,-0.9065783,1.050145,1.5195782,2.7245061,1.0
2.5723283,-0.31578344,-0.022562934,-0.7222027,-0.36378944,0.0
-2.1008146,0.024587054,-1.0773108,-0.7631027,-0.39597917,0.0
-0.43134227,-0.06491516,0.5607084,0.9605405,2.1282804,1.0
1.4040316,-0.37087366,-0.6355309,-0.22678235,-0.004211774,0.0
-0.56016004,0.6952861,-0.0013601326,-0.04023148,0.040407244,0.0
0.24852265,1.101831,0.4567098,-1.0483034,-0.52052486,1.0
-0.46434954,1.0087024,0.65343016,-1.0241627,-0.07390599,0.0
1.1837356,-0.98391056,-0.538866,-0.27381337,-0.41024143,0.0
-0.39554185,-0.4470794,1.0801432,-1.5960759,2.6082094,1.0
-0.64568347,-1.0569519,-0.38301125,2.3039296,-1.2434494,0.0
-0.94111,-0.3770089,1.6311585,-1.4991021,-0.89858407,0.0
0.432329,1.0336832,0.84227943,0.31058592,-0.4332851,1.0
0.45598966,1.0383624,0.22289817,0.19557886,1.3376628,0.0
-0.6702974,0.1256065,0.57790875,-0.06765601,-0.7729364,0.0
