shape_compactness,shape_circularity,distance_circularity,radius_ratio,principal_axis_aspect_ratio,max_length_aspect_ratio,scatter_ratio,shape_elongatedness,principal_axis_rectangularity,max_length_rectangularity,scaled_variance_major_axis,scaled_variance_minor_axis,scaled_radius_of_gyration,skewness_major_axis,skewness_minor_axis,kurtosis_major_axis,kurtosis_minor_axis,hollows_ratio,vehicle_type
-0.6564893,-0.60736454,0.09832297,-0.69876033,0.033110343,-0.14936475,-0.79452515,0.6527082,-0.6282062,-0.27208403,-0.7105327,-0.63776517,-0.46609268,-0.42871097,-0.47012427,0.58888495,-0.0552934,0.15554897,3.0
-2.1440039,-1.0934756,-0.4291071,-0.76444054,-0.42538646,-0.63316494,-0.620085,0.90235347,-0.6381039,-1.027791,-0.5885591,-0.81363946,-1.2789246,0.7999875,2.1665013,0.7625813,-1.224549,-1.1904198,1.0
-1.6391481,-1.146518,-1.5288599,-1.5329152,-0.8204188,-0.5336313,-0.84788585,0.88973874,-0.6563074,-1.4442056,-1.3094261,-1.0452427,-0.99213696,0.92924285,-0.29751664,-1.0215906,-1.627342,-1.891993,2.0
-0.12092268,-0.99098426,0.29310367,-0.35084245,-0.7986201,0.07569532,0.13029115,-0.24371879,-0.4168185,-1.1751828,0.36624518,-0.18739775,-0.6763838,-0.58440596,0.53559303,0.22803028,0.21622738,-0.08137034,1.0
-0.3585397,0.42033818,0.1725913,4.1802244,7.5579624,7.4388413,-0.49292773,0.4020165,-0.58387315,0.4260136,2.6076317,-0.50148785,0.8574288,6.0132284,-1.196579,0.38832325,-0.6266032,-0.10858333,3.0
0.29351497,-0.54332906,-1.298671,-1.206607,-0.68695164,-0.34465757,-1.0881501,1.3557357,-0.9844581,-0.43926045,-1.033069,-1.1527133,-0.4734673,0.7757049,-0.09869009,-0.59256196,-0.6458851,-1.2291285,3.0
0.067159526,0.6656361,0.34106338,-1.0062864,-0.9445034,0.2781166,-0.28750917,0.24036495,-0.35906482,1.0474164,-0.38118663,-0.28394246,0.33238617,0.37152523,-0.26090616,-0.86384225,-0.8397073,-0.23643382,3.0
0.6018146,1.3056182,0.16437347,1.06718,0.8856653,-0.85492843,0.6901267,-1.1230115,0.6653622,0.7178401,0.57174397,0.82937396,1.3722796,0.4000641,-0.48754603,-0.64225906,0.8685848,-0.017316666,0.0
-1.5953918,0.3635392,-0.8627849,-0.6857756,0.23491196,-0.4683861,-0.58039397,0.3496644,-0.6369449,-0.0707155,-0.5227957,-0.586667,0.62896985,0.44463947,-0.19989797,-1.5383968,-0.9247839,-0.88987535,0.0
0.11237121,0.85765994,0.13687593,-0.8725377,-0.6362048,0.17018564,-0.2986065,0.38983747,-0.16605118,1.4016368,-0.55788463,-0.6149458,0.4148194,0.6469013,-0.2595104,-0.68084115,-1.2022642,-0.6793184,3.0
-0.0035657976,0.10468813,-0.44900697,0.5281895,1.4454486,-0.420108,-0.4806918,0.025992222,-0.70137817,-0.4723931,-0.3707767,-0.2684489,0.2115345,-0.59994924,0.41684625,-0.67108256,0.8416119,0.76421696,0.0
1.3508189,1.818863,1.053165,1.1934992,0.26326922,0.40905523,1.3973196,-1.2310234,1.3569993,1.8697275,1.2990822,1.2985321,1.1183401,-0.16521804,-0.8163145,0.6788864,-0.037281558,0.40276608,1.0
1.4324929,0.6973988,0.44997072,-0.029546624,-0.8240938,-0.84631044,1.2150726,-1.3027029,1.2819988,0.3685685,1.7098428,1.4781686,0.69416696,0.85425913,-1.1254989,1.0596387,0.18528973,-0.8743797,0.0
-1.9130313,-1.1493413,-1.1333618,-1.5169564,-1.3265302,-0.5077898,-0.8979795,0.8378177,-0.68703437,-1.2603165,-0.75699496,-0.81561375,-0.92479724,0.6374182,-0.9568535,-0.90662754,-1.2371595,-1.5179293,2.0
1.9204535,0.121047236,1.0707085,0.9061295,-0.22399877,0.1126013,0.77843523,-0.7437918,0.54623294,0.094728306,0.55381656,0.61591166,-0.33900112,-0.9083856,0.9780416,-0.5969586,0.78515375,0.9620503,2.0
-0.77082986,-0.9660731,-0.55072176,-0.5489101,0.03711974,-0.20537114,-0.96628374,0.72873664,-0.9301488,-0.7919776,-1.0732176,-0.9217683,-1.3763235,-1.369511,-0.5106158,-0.72574663,2.1071372,2.047445,3.0
0.36074004,-0.6011665,1.1218797,0.35513118,-0.2887792,0.06334683,0.45794243,-0.64728975,0.46821433,-0.4508007,0.6326248,0.29550982,-0.3790886,-0.7733022,0.1425982,3.2183537,0.87237453,1.3967677,2.0
-0.42341056,-0.4058578,-0.3461021,-0.63283396,-0.9247959,-0.2505373,-0.849971,0.9857612,-0.9973448,-0.85629493,-0.87841594,-0.9551806,-0.45456678,-0.86464936,-1.472014,-1.2842088,0.43262884,0.17500135,1.0
-0.5208339,-0.71378917,-0.5955234,-0.22244504,0.49316034,-0.5326236,-0.39458343,0.29442754,-0.5369256,-0.6737823,-0.37981015,-0.44540533,-0.63344854,-0.10432245,-0.9298719,-1.3779174,0.01933582,-0.14852947,0.0
0.9118999,1.759689,1.1224391,0.053915706,-0.9180151,0.3779327,1.431848,-1.260122,1.3999976,1.8368611,0.930615,1.3774582,1.6309478,0.10073894,-1.0421587,-0.95566523,-0.7034761,-0.49468258,1.0
-0.15450509,-0.9463873,-0.50806385,0.34777048,1.1216233,-0.5100585,-0.55792826,0.28466508,-0.50742376,-1.0869339,-0.35623926,-0.5650754,-0.8874753,-0.08424061,-0.1442737,0.24081,0.90623057,0.5663263,0.0
-1.2331957,-1.0738422,-0.69309914,-1.0242387,-1.2321151,-0.037771516,-0.8632169,1.2981339,-1.0732247,-1.2594925,-1.478805,-0.8671198,-1.4273973,-0.77307737,-1.2264053,1.2997841,-0.12924975,0.16253603,1.0
1.2501589,1.1482223,1.847017,-0.0092362445,-1.007798,0.3894983,1.5192028,-1.492567,1.5384187,1.323675,1.4769783,1.6096463,1.3849379,0.054048736,0.79856366,1.832638,0.040116627,0.3156353,1.0
1.0344504,1.1030233,1.7142433,0.64598393,-0.5097441,0.14372711,1.1392483,-1.2913911,1.3661188,0.88236964,0.99271613,1.3464756,0.21896903,-0.7831626,0.3126353,0.91943324,0.4952885,0.7480168,1.0
1.3007326,0.75406003,1.4409438,1.1163272,-0.106670134,0.4263839,1.2532511,-1.1107308,1.2624141,0.6456085,0.85612434,1.1425077,-0.2514101,-1.0674654,-1.2411991,0.71007645,0.68617326,1.7069192,2.0
-1.4219898,-0.13992499,-0.9519511,-0.7605555,-0.06538449,-0.18898983,-0.50014836,0.3628817,-0.6224536,-0.3049425,-0.6567832,-0.5631069,0.1747656,0.4018909,-1.1089568,-1.3718381,-0.5676645,-0.65500224,0.0
-0.18690409,-0.9047295,-1.4113919,-0.52295107,-0.6112609,-0.47351804,-1.244935,1.2672722,-0.92737716,-0.9400882,-1.1845586,-1.0571901,-0.5300837,-1.2666732,0.44369304,-0.4392946,1.3880687,1.0217974,2.0
-1.1874349,-1.8359439,-2.931178,-1.5086913,-0.72607785,-1.2347269,-1.5432677,2.4930696,-1.3382139,-2.181482,-2.023435,-1.1453887,-1.255905,1.8046856,1.1655043,0.9362788,-1.4461119,-1.6524475,2.0
-0.11899089,-0.7223924,0.039856642,-0.19853853,0.20474431,0.086941294,-0.76191926,0.39901572,-0.62864983,-0.6125144,-0.7972009,-0.6533992,-1.1287462,-0.9643973,0.52115226,-1.3407466,1.6307658,1.4861674,3.0
-0.86411804,-1.2468445,-0.66067904,-0.5907467,0.1388287,-0.13766581,-0.9541929,1.0149667,-0.9730685,-0.83850014,-0.8031837,-0.8436384,-1.6040926,-0.3319353,-1.1244345,-0.7025165,-0.00021639839,-0.020111844,3.0
1.5246685,1.3464117,1.7436854,1.3873273,0.7154596,0.37094042,1.3069239,-1.1126274,1.3023669,1.1654121,0.7879128,1.1108307,1.4053336,-0.3920938,1.4782579,1.000098,-0.17988677,0.5680452,2.0
-0.9455142,-0.30222157,-1.0828748,-1.2826229,-0.88356924,-0.2914715,-0.49214825,0.37550488,-0.6537704,-0.14179073,-0.5467887,-0.4539349,0.02229475,1.5017489,-0.40455675,0.2674634,-1.3800358,-1.6213576,0.0
