shape_compactness,shape_circularity,distance_circularity,radius_ratio,principal_axis_aspect_ratio,max_length_aspect_ratio,scatter_ratio,shape_elongatedness,principal_axis_rectangularity,max_length_rectangularity,scaled_variance_major_axis,scaled_variance_minor_axis,scaled_radius_of_gyration,skewness_major_axis,skewness_minor_axis,kurtosis_major_axis,kurtosis_minor_axis,hollows_ratio,vehicle_type
2.0363142,1.5507238,1.3070219,0.83832926,0.32946816,0.4746823,1.4064572,-1.2795694,1.2472678,1.6742078,1.0921901,1.228888,1.4262646,-0.06644997,2.2430227,0.33937848,-0.13577643,0.3889401,2.0
-0.83359617,0.22297877,-0.5477347,-0.13824995,0.6091921,-0.50808275,-0.43733057,0.22842872,-0.59742606,-0.03642517,-0.34854418,-0.5207128,0.48777312,0.18408425,0.20246331,-0.9855188,-0.13846041,-0.17422107,0.0
0.48545545,-0.42863637,1.2611691,0.43340948,-0.32952827,0.05141301,0.6087456,-0.583712,0.45053273,-0.6902601,0.69094753,0.32398573,-0.17712873,-0.7227936,0.16703853,3.1467683,0.80432004,1.4781381,2.0
1.9383035,1.20545,1.2328849,1.3042665,0.041670192,0.4650063,1.5703497,-1.2523768,1.753811,1.5737491,1.2492847,1.4925569,1.2512814,-0.12521674,-0.05965139,-1.1328522,-0.13183653,0.49978563,2.0
1.3376286,1.4000816,1.5755997,1.364972,0.6763528,0.21913794,1.1638969,-1.1456736,1.2391856,1.294403,0.84457254,1.1573519,1.2360225,-0.38797358,1.7120852,1.1320808,0.022233402,0.49919137,2.0
0.4084852,0.01220771,0.37814343,0.038363386,0.57863945,0.34227273,-0.41460258,0.4094804,-0.5793696,0.031798255,-0.7684458,-0.563259,0.041725963,-0.646361,0.57700866,-0.61466575,0.46436006,0.79889774,3.0
0.104658596,-1.3014034,-0.56732917,0.7224465,1.0599749,-0.4672682,-0.35053805,0.026258716,-0.70275253,-0.98752,-0.19103083,-0.27381575,-1.5380816,-0.33893836,-1.3898163,0.19166808,1.7581506,1.3458347,0.0
-1.0000874,0.07980565,-0.6323504,-1.4160376,-0.6631401,-0.6000479,-0.5451395,0.5201006,-0.72104824,-0.038667854,-0.6109074,-0.5273391,0.50620925,1.1660281,0.47910908,-0.16216047,-1.4100115,-1.674528,0.0
-1.0631953,-1.383934,-1.0456399,-1.4489254,-0.71531105,-0.6551861,-1.4469833,1.907004,-1.3892211,-1.3912745,-1.5617516,-1.3128182,-1.2432895,0.09470813,-1.0559405,0.5659265,-0.42449558,-0.7623621,3.0
-0.38777322,-0.055741273,-0.663103,-0.46128407,0.30402726,-0.084823646,-0.9509691,0.9102502,-0.9114967,-0.32196096,-0.89482725,-0.9649411,-0.10669492,-1.0375285,0.61429137,-0.8388811,1.1335958,1.0833154,3.0
1.0684431,1.559387,0.99296606,-0.07185006,-1.1123328,0.16141604,1.5180095,-1.1864916,1.337842,1.7881569,1.3169954,1.383228,1.46684,0.0009770138,-1.3964863,2.044931,-0.3103495,0.3548982,1.0
-0.5114307,-0.13040738,-0.32928503,0.6720561,0.1307123,0.053701475,-0.30198428,-0.038187347,-0.2823311,0.25198117,-0.03556938,-0.18171537,0.04084319,-0.84140545,-0.52379024,-1.1162049,0.84819937,0.78124774,2.0
-0.25103378,-0.45738864,-1.0714766,-0.85961926,-0.43800145,-0.055532183,-1.0352665,1.1745949,-0.87669146,-0.45993102,-0.7389384,-0.9570862,-0.2601901,-0.5473229,-0.048075702,-0.75871783,0.4192404,0.2084998,3.0
-0.20086308,0.11652947,-0.42006096,0.43280295,1.5680488,-0.25718048,-0.55347615,-0.073407784,-0.5964525,-0.022669796,-0.4230717,-0.3314496,0.5697697,-0.07841583,0.42645535,-0.3537727,0.5536535,0.4081482,0.0
1.5759431,0.6401835,1.5736977,0.7440129,-0.57449174,0.36351576,1.3965862,-1.3029763,1.3387129,0.9080626,1.1815832,1.2592927,-0.08583442,-0.7877793,-1.3936703,2.939933,0.5703926,1.4273416,1.0
-0.36706197,-0.4305296,0.39777395,-0.43333745,-0.034202762,-0.0684546,-0.7067131,0.45158744,-0.6665877,0.63868695,-0.8505767,-0.53690356,-0.9445918,-1.087834,-1.0511692,1.3931266,1.2975751,1.4480741,3.0
0.71509564,1.0727237,0.3360535,0.6065156,-0.053277124,-0.8093272,0.9877851,-1.0776539,0.8673854,0.6856079,1.0349089,1.0438828,1.2720542,0.6016245,0.31520337,1.4923692,0.39350116,-0.6564324,0.0
-0.4451161,-1.450318,-0.483724,-0.033633452,-0.16762845,-0.08239996,-0.3851391,0.06645514,-0.597672,-1.3224348,-0.45782956,-0.38242346,-1.5906024,-1.4733775,-0.08926739,0.8296603,1.3132203,1.1798908,2.0
-2.1432831,-0.94088316,-0.34504437,-0.8095012,-0.30268803,-0.5056475,-0.68124145,0.7166251,-0.6556361,-1.1014872,-0.67548054,-0.6647272,-1.2961578,1.0581704,2.0508842,0.77537906,-1.2408872,-1.1897614,1.0
0.44884032,-0.16797626,0.22227517,-0.13896218,0.507564,0.08940515,-0.34396943,0.2720772,-0.63635415,0.19910927,-0.5758581,-0.59246314,-0.5119141,-0.8234771,-0.5811821,-0.29469517,0.45550764,0.9211659,3.0
-0.320596,-1.5302463,-1.4841911,-1.1795521,-0.6495699,-0.33112878,-1.3737329,1.8761886,-1.3241384,-1.466277,-1.6444534,-1.3635225,-1.2808355,-0.7714704,3.3772376,1.068767,0.047245737,0.079914466,2.0
-1.0115321,-0.75375754,-1.0347043,-0.9675373,-0.50025034,-0.51968515,-0.8382864,0.80235195,-0.67662096,-0.8386657,-0.753391,-0.80385935,-0.3798947,0.5313554,-0.81979346,1.013262,-1.207237,-1.28386,2.0
-0.6770661,-0.7541166,-0.16252933,0.34039304,0.104682006,-0.3195873,0.28938594,-0.30204317,0.15849955,-0.6277177,0.43716162,0.094064824,-0.80316436,-0.84082735,-1.389509,1.903096,0.12820525,0.42269427,1.0
1.6856763,1.1788828,1.2835336,0.45036176,-0.5611563,0.45020333,1.398882,-1.3327907,1.3367128,0.8385088,0.8869158,1.308603,0.47460952,-0.8863697,-0.093572475,-0.8774197,0.07000289,0.3183064,1.0
