shape_compactness,shape_circularity,distance_circularity,radius_ratio,principal_axis_aspect_ratio,max_length_aspect_ratio,scatter_ratio,shape_elongatedness,principal_axis_rectangularity,max_length_rectangularity,scaled_variance_major_axis,scaled_variance_minor_axis,scaled_radius_of_gyration,skewness_major_axis,skewness_minor_axis,kurtosis_major_axis,kurtosis_minor_axis,hollows_ratio,vehicle_type
-0.9344078,-1.0263484,-0.7445649,-1.1743736,-1.1564118,-0.09330913,-0.9697876,1.1911075,-1.084898,-1.238918,-1.590638,-1.029661,-1.3861288,-1.0056788,-1.2823896,1.3343914,-0.11011037,0.0947365,1.0
-0.5912458,-0.38354737,-1.0338001,-1.0704185,-0.5631002,-0.5230243,-1.5152866,1.496083,-1.4689357,-0.3503756,-1.1328633,-1.258917,-0.50061506,-0.7355791,0.48835585,-0.7489129,0.7185853,0.31211683,3.0
-1.049774,0.06352276,-0.6053768,-0.47175786,0.17693554,-0.075791284,-0.83427805,0.7497581,-0.55423516,0.061797187,-0.685364,-0.6419807,0.021562088,-0.042993996,-0.9126927,-1.0683421,-0.35576406,0.084492594,3.0
-1.1240546,-0.4097703,-1.0958045,-1.2861912,-0.59272075,-0.19452909,-0.43778977,0.69768256,-0.6619537,-0.18729883,-0.5813115,-0.5597529,-0.03856023,1.3294302,0.49346188,0.1343572,-1.223262,-1.6902019,0.0
0.28031886,0.06794664,0.3537993,0.04145169,0.52083474,0.23970546,-0.48608473,0.40053156,-0.66897196,0.04325241,-0.57838696,-0.47683883,-0.056145266,-0.8338693,0.66867584,-0.5507527,0.47224113,0.78554845,3.0
-0.8681008,-1.5206152,-0.37899637,-0.73426175,-0.4854223,-0.44964507,-0.950414,1.1089277,-1.0356241,-1.6950613,-0.9515735,-1.0136843,-0.7275899,-0.69769835,-1.4509329,1.562151,0.1487395,0.12973525,2.0
-0.012609851,0.4350224,1.5195351,1.2677808,0.7140888,0.20740817,1.1622062,-1.0070282,1.0650082,0.22456266,1.1058272,1.1911767,0.64762247,0.17115174,-0.28464097,-0.40942982,-0.41621217,-0.4646292,1.0
-0.39484596,0.06782617,-0.33304176,-0.46285176,-0.55623,-0.6016603,-0.52605116,0.526758,-0.46156612,-0.065249346,-0.65879506,-0.52324134,0.056781366,-0.83968896,1.9076843,-1.3907003,0.73529613,0.29539487,1.0
-0.049908586,-1.0585718,-0.46401656,-0.045672182,-0.30678198,-0.17726617,-0.10021311,0.17005469,-0.22877808,-1.0058243,-0.360723,-0.27778587,-1.481424,-1.2851065,0.025124919,-0.6835941,1.5226666,1.0986344,1.0
-0.6224801,-1.0383502,-0.46151203,-0.36323684,-0.049381413,-0.06434759,-0.9547105,0.9035126,-0.94192874,-0.72280025,-0.9835991,-0.93029505,-1.4829543,-1.2411288,-0.590755,-0.7322154,1.8368094,1.7717272,3.0
2.207748,0.945664,1.4304984,0.63610095,-0.54443276,0.5208561,1.3764108,-1.311786,1.2904832,0.87706196,1.255174,1.3558253,0.70174074,-0.6312239,2.6905596,-1.0734295,0.39688018,0.49742904,2.0
0.31710443,-1.1256754,-0.2803705,0.40992174,-0.057471827,-0.061588958,-0.17233534,0.056344897,-0.16228472,-1.1793066,-0.36113498,-0.32153416,-1.9203633,-1.3410342,-0.8468419,1.729514,2.4269423,2.0762572,1.0
0.1640811,-0.9355639,-0.49649218,-0.20130335,-0.045330726,-0.12069075,-0.7862227,0.69918424,-1.0386107,0.12196938,-0.89186573,-0.8209873,-1.5754431,-1.4447587,1.8120627,-0.98490214,1.9106535,1.881637,3.0
0.5972908,-0.25740108,0.36234474,0.1784371,0.6473318,0.38002664,-0.34439933,0.23056124,-0.2279949,0.1295618,-0.5665205,-0.46224082,-0.60211587,-0.82739496,1.6184492,-0.38474667,0.8673551,0.7956037,3.0
0.1411455,0.6561729,0.24687557,-1.0467827,-0.9785215,0.28170958,-0.36318168,0.14041014,-0.31285232,0.9132832,-0.3330162,-0.39056322,0.3803548,0.25086316,-0.15293151,-0.736895,-0.91087645,-0.17558654,3.0
-1.1676786,-0.60360944,-0.7059486,-1.1170403,-0.76915777,-0.3455748,-0.50971943,0.4686628,-0.5859098,-1.0161211,-0.7962836,-0.7415543,-0.32158872,0.9224249,1.2976651,-1.2071472,-1.3741683,-1.2866417,1.0
0.6808047,-0.8628308,-0.9710079,-1.0711273,-0.58760613,-0.23692793,-1.0494369,1.456995,-0.95657176,-0.33917946,-1.0703442,-1.0885141,-1.2230669,-0.14643691,-0.5116381,-0.30283144,-0.4894642,-1.0610588,3.0
-0.0498461,-0.68117887,-0.11454058,0.56213164,0.8721687,-0.75479746,0.087876506,-0.34277996,-0.2073644,-0.7188362,-0.14934886,0.056642383,-0.4951758,-0.53355515,-0.7028745,1.3683033,1.5130773,1.1628666,0.0
-1.8063946,-1.1173398,-1.7556142,-1.4117384,-0.90615183,-0.62507665,-0.9134214,0.8878762,-0.5931135,-1.4223292,-1.0447192,-0.85630405,-0.93641925,1.1888306,-0.3767704,-1.1059474,-1.5450047,-1.5536437,2.0
-0.64446384,-0.49806213,-1.1938658,-0.58526665,-0.03158251,-0.15572998,-1.1970407,1.2906605,-0.86228627,-0.47840884,-1.3131275,-1.0709336,-0.31956956,-1.3315299,-0.49059838,-0.9986807,2.1633842,1.9834918,3.0
-1.5293888,-1.0771962,-1.8594909,-1.3511002,-0.40629435,-0.60331315,-0.8837126,1.2227436,-1.0568395,-1.3062898,-1.4665256,-1.0092806,-0.85926497,1.3744301,0.7117347,-0.7786463,-2.0990856,-1.4055971,1.0
-0.1857763,0.07967741,-0.5791312,0.5801565,1.4242525,-0.3368639,-0.37651324,-0.055911526,-0.6141547,-0.34463537,-0.4322703,-0.3409457,0.27904323,-0.36627752,0.26898783,-0.74401957,1.041512,0.6196971,0.0
