method,rows,seed,compression,test_latency_seconds_median,test_latency_seconds_samples,process_peak_rss_bytes,compile.kl,compile.js,compile.agreement,compile.accuracy,compile.log_loss,compile.roc_auc,validation.kl,validation.js,validation.agreement,validation.accuracy,validation.log_loss,validation.roc_auc,test.kl,test.js,test.agreement,test.accuracy,test.log_loss,test.roc_auc,best_step,training_seconds,label_min,label_max
full,507,42,1.0,0.36942812497727573,"[0.3680064999498427, 0.36942812497727573, 0.3731476250104606]",2284797952,0.0,0.0,1.0,0.8816568047337278,0.2591405510902405,0.9795934846806941,0.0,0.0,1.0,0.9764705882352941,0.10758377611637115,0.9985344516594516,0.0,0.0,1.0,0.8470588235294118,0.3508138060569763,0.956331637112887,,,,
random,8,42,63.375,0.09155866596847773,"[0.09408312500454485, 0.09155866596847773, 0.09019733406603336]",2284797952,1.0834674835205078,0.3018744885921478,0.40236687660217285,0.33136094674556216,1.3601269721984863,0.6936461794019935,1.1428083181381226,0.3163932263851166,0.3529411852359772,0.32941176470588235,1.3283445835113525,0.8010340007215007,1.1020222902297974,0.3048776388168335,0.3176470696926117,0.29411764705882354,1.3539230823516846,0.7373417034354535,,,,
synthetic_random,8,42,63.375,0.0933728339150548,"[0.09342262498103082, 0.0933728339150548, 0.09295608394313604]",2284797952,0.6987426280975342,0.19911178946495056,0.5857987999916077,0.5207100591715976,0.9812643527984619,0.8592054263565891,0.7618340253829956,0.216467022895813,0.6235294342041016,0.6,0.9417175054550171,0.9015544524919524,0.7698536515235901,0.2169022262096405,0.4941176474094391,0.5058823529411764,1.046980381011963,0.8158855901043401,50.0,10.455505374935456,0.0,3.0
stratified,8,42,63.375,0.09564312500879169,"[0.09564312500879169, 0.0959522919729352, 0.09199304191861302]",2284797952,1.0065815448760986,0.28396785259246826,0.45562130212783813,0.44970414201183434,1.260801076889038,0.7341385197489848,1.0383352041244507,0.2933013439178467,0.5647059082984924,0.5529411764705883,1.2259039878845215,0.7603587905150404,1.0036680698394775,0.2838926613330841,0.4470588266849518,0.43529411764705883,1.255192756652832,0.7333743686868688,,,,
synthetic_stratified,8,42,63.375,0.09413291700184345,"[0.0930945830186829, 0.09413291700184345, 0.09433587500825524]",2284797952,0.841802716255188,0.23754562437534332,0.5207100510597229,0.4970414201183432,1.130743384361267,0.7842515688445921,0.8426639437675476,0.2402537763118744,0.6000000238418579,0.5882352941176471,1.0310654640197754,0.8484985153735154,0.8344743847846985,0.23591579496860504,0.529411792755127,0.5529411764705883,1.0781630277633667,0.8201157696470196,50.0,9.276995999971405,0.0,3.0
random,8,43,63.375,0.0909605419728905,"[0.0909605419728905, 0.09044354199431837, 0.09129470807965845]",2284797952,3.48504900932312,0.36796289682388306,0.3372780978679657,0.35502958579881655,3.340646982192993,0.7010220561092654,3.1747775077819824,0.35687875747680664,0.4000000059604645,0.4,3.347111701965332,0.7597104111166612,3.178236961364746,0.3494279384613037,0.4000000059604645,0.4,3.328451633453369,0.76594083000333,,,,
synthetic_random,8,43,63.375,0.09256208303850144,"[0.09065795794595033, 0.09304491698276252, 0.09256208303850144]",2284797952,3.3157103061676025,0.3225627541542053,0.48520711064338684,0.5088757396449705,3.180344343185425,0.7585594315245479,2.972683906555176,0.3024367392063141,0.5529412031173706,0.5647058823529412,3.143554210662842,0.7868265935453436,3.006532669067383,0.30391135811805725,0.5647059082984924,0.5529411764705883,3.1713783740997314,0.7542335095460095,50.0,9.004377917037345,0.0,3.0
stratified,8,43,63.375,0.09109387500211596,"[0.09109387500211596, 0.08920337504241616, 0.09286308300215751]",2284797952,1.0803881883621216,0.2841852009296417,0.47337278723716736,0.4260355029585799,1.4058276414871216,0.6296650055370985,1.162145972251892,0.30116793513298035,0.5411764979362488,0.5294117647058824,1.3392188549041748,0.6587424901487402,1.2078187465667725,0.3062552511692047,0.42352941632270813,0.4,1.4855297803878784,0.6043538752913753,,,,
synthetic_stratified,8,43,63.375,0.08925262500997633,"[0.09594666701741517, 0.08920095895882696, 0.08925262500997633]",2284797952,0.8847867250442505,0.24180573225021362,0.5739644765853882,0.514792899408284,1.2129769325256348,0.7339862495385753,0.9137524962425232,0.24997477233409882,0.5647059082984924,0.5529411764705883,1.078230857849121,0.7932510198135199,0.9990013837814331,0.26324838399887085,0.48235294222831726,0.43529411764705883,1.3058680295944214,0.7027731643356643,50.0,9.000649583991617,0.0,3.0
random,8,44,63.375,0.0912742919754237,"[0.09880241705104709, 0.0896910410374403, 0.0912742919754237]",2284797952,2.7331137657165527,0.340271919965744,0.39053255319595337,0.40236686390532544,3.3019368648529053,0.6978105389442598,2.9536304473876953,0.3243960738182068,0.47058823704719543,0.47058823529411764,3.1393468379974365,0.7434572805666555,2.821643352508545,0.3255264163017273,0.43529412150382996,0.43529411764705883,3.2343645095825195,0.703281302031302,,,,
